 n° ite     f(pn)         error x             error y
   1  0.187500000000E+01  0.625000000000E+00  0.515625000000E+00
   2  0.156250000000E+01  0.312500000000E+00  0.558593750000E+00
   3  0.171875000000E+01  0.156250000000E+00  0.458984375000E-01
   4  0.179687500000E+01  0.781250000000E-01  0.228759765625E+00
   5  0.175781250000E+01  0.390625000000E-01  0.899047851562E-01
   6  0.173828125000E+01  0.195312500000E-01  0.216217041016E-01
   7  0.172851562500E+01  0.976562500000E-02  0.122337341309E-01
   8  0.173339843750E+01  0.488281250000E-02  0.467014312744E-02
   9  0.173095703125E+01  0.244140625000E-02  0.378775596619E-02
  10  0.173217773438E+01  0.122070312500E-02  0.439703464508E-03
  11  0.173156738281E+01  0.610351562500E-03  0.167439877987E-02
  12  0.173187255859E+01  0.305175781250E-03  0.617440789938E-03
  13  0.173202514648E+01  0.152587890625E-03  0.888919457793E-04
  14  0.173210144043E+01  0.762939453125E-04  0.175399938598E-03
  15  0.173206329346E+01  0.381469726562E-04  0.432525412180E-04
  16  0.173204421997E+01  0.190734863281E-04  0.228200660786E-04
  17  0.173205375671E+01  0.953674316406E-05  0.102161466202E-04
  18  0.173204898834E+01  0.476837158203E-05  0.630198246654E-05
  19  0.173205137253E+01  0.238418579102E-05  0.195707639250E-05
  20  0.173205018044E+01  0.119209289551E-05  0.217245445810E-05
  21  0.173205077648E+01  0.596046447754E-06  0.107689388074E-06
  22  0.173205107450E+01  0.298023223877E-06  0.924693413396E-06
  23  0.173205092549E+01  0.149011611938E-06  0.408501990457E-06
  24  0.173205085099E+01  0.745058059692E-07  0.150406295418E-06
  25  0.173205081373E+01  0.372529029846E-07  0.213584523401E-07
  26  0.173205079511E+01  0.186264514923E-07  0.431654680888E-07
  27  0.173205080442E+01  0.931322574615E-08  0.109035078744E-07
  28  0.173205080908E+01  0.465661287308E-08  0.522747223286E-08
  29  0.173205080675E+01  0.232830643654E-08  0.283801782075E-08
  30  0.173205080791E+01  0.116415321827E-08  0.119472698401E-08
  31  0.173205080733E+01  0.582076609135E-09  0.821645418370E-09
  32  0.173205080762E+01  0.291038304567E-09  0.186541004865E-09
  33  0.173205080748E+01  0.145519152284E-09  0.317552206752E-09
 ite final     raiz aprox         error rel x             error abs y
  34  0.173205080755E+01  0.727595761418E-10  0.655058229881E-10
